topic_id,size,auto_name,top_words,rq_tags,representative_doc_1,representative_doc_2,manual_label,submodel,stability_ari
2,5892,2_track_log_daily_tracking,"track, log, daily, tracking, ads, helps, missed, add, read, helpful",RQ1|RQ6,Great app.Helps me track my five daily prayers.,Very good app to track your salah,Praise for salah tracker,rq1_tracker,0.837
0,144,0_hai_ki_ka_bhi,"hai, ki, ka, bhi, aap, se, ke, log, ko, ho",,very useful app I will definitely recommend this app yah aap bahut acchi hai Muslims ke bahut jyada kam aaegi ismein aap apne namaz track kar sakte hain sath mein tasbhi bhi phad sakte hain qabila bhi track kar sakte hai ismein Allah ke 99 names bhi hai aap vah bhi learn kar sakte hain ek Sath hi sa,Allah ka karam hai bahut acha app hai ye bahut faida hai is app se . Ajj ke is gunah se bhare dor me dawateislami bahut bare din ka kam kar rahi hai . Allah ka karam hai ajj dawateislami social side me bhi apna kam kar rahi hai allah hamesha hum log ko dawateislami wala bana ke rakhe aur iman pe kha,Hindi/Urdu — not resolvable,rq1_tracker,0.837
1,142,1_data_location_military_selling,"data, location, military, selling, track, tracking, sells, sold, sell, users",RQ1|RQ4,"According to investigative reports in Vice, this application is sending data to a third party company who then sells it to the IS military to track Muslim location data. Unless this app can with certainty safeguard location data of it's users, you should NOT use this app",DO NOT DOWNLOAD. This app has been selling Muslim data to the US military so they can track us whenever they want.,Complaint for selling user data,rq1_tracker,0.837
-1,34,-1_streak_daily streak_daily_day,"streak, daily streak, daily, day, streaks, check, streak rewards, checked, day checked, update",RQ1,"update: 03/27/25. after the update I no longer see my Daily Streak to ""Check-in"". This is the 3rd time the daily streak has been messed up for me for reasons that aren't in my control. The app is not tracking my ""Quests"" as well, and I've tried several times throughout the day. I submitted a support",Something is wrong with the daily streak because I can't check in.,OUTLIERS,rq1_tracker,0.837
